Number_of_Stations: 5394
Stat_ID    Easting_x    Norting_Y   Altitude  Longitude    Latitude   Bl_ID   Start_Date     End_Date   State   data_avail  geoQualLev   Station_Name 
  00068   4539692.02   5685197.84     128.00   12.56920    51.30150      -9   1972-01-01   1997-12-31      XX      100.00%           9   Albrechtshain
  00069   4272225.85   5349262.78     911.00    8.93290    48.24130      -9   1941-01-01   2003-12-31      XX       96.83%           9   Albstadt-Burgfelden
  00070   4279808.44   5344945.70     712.00    9.03710    48.20520      -9   1973-06-01   1986-09-30      XX      100.00%          10   Albstadt-Ebingen
  00071   4275492.02   5346271.80     759.00    8.97840    48.21560      -9   1986-11-01   2015-12-31      XX       99.43%           3   Albstadt-Badkap
  00072   4277369.30   5352989.66     794.00    9.00010    48.27660      -9   1978-10-01   1995-05-31      XX      100.00%           9   Albstadt-Onstmettingen
  00073   4577453.70   5386896.15     340.00   13.05060    48.61590      -9   1931-01-01   2015-12-31      XX       98.81%           3   Aldersbach-Kriestorf
  00074   4417168.28   5435251.38     428.00   10.86670    49.05000      -9   1931-01-01   1968-12-30      XX       97.37%           5   Alesheim
  00075   4333156.50   5413907.45     486.00    9.72670    48.84120      -9   1951-01-01   1986-12-31      XX      100.00%          10   Alfdorf
  00076   4330017.91   5413356.69     493.00    9.68420    48.83540      -9   1987-01-01   2003-12-31      XX      100.00%           9   Alfdorf-Pfahlbronn
  00077   4350240.04   5764073.18      90.00    9.81940    51.99170      -9   1931-01-01   2007-10-31      XX       97.40%           9   Alfeld/Leine
  00078   4222376.50   5824573.27      65.00    7.91190    52.48500      -9   1961-01-01   2015-12-31      XX       99.55%           3   Alfhausen
  00079   4147767.44   5626864.16     160.00    7.01550    50.67180      -9   1931-01-01   2015-12-31      XX       97.60%           3   Alfter-Volmershoven
  00080   4336069.13   5659869.77     195.00    9.66170    51.05180      -9   1961-01-01   2004-12-31      XX       97.72%           9   Alheim-Heinebach
  00081   4265340.00   5663403.63     378.00    8.65210    51.05900      -9   1941-01-01   1999-12-31      XX       97.88%           9   Allendorf/Eder-Osterfeld
  00082   4311084.26   5881431.61      18.00    9.18330    53.03330      -9   1951-01-01   1970-12-30      XX      100.00%           5   Allerdorf
  00083   4441321.05   5786795.81     135.00   11.14140    52.21300      -9   1969-01-01   2002-12-31      XX       99.52%           9   Alleringersleben
  00084   4444894.44   5457226.26     385.00   11.24300    49.25070      -9   1951-01-01   2005-12-31      XX      100.00%           9   Allersberg
  00085   4428720.97   5727263.75     458.00   10.96940    51.67650      -9   1969-01-01   2000-01-31      XX       94.64%           9   Allrode
  00086   4457477.28   5696156.30     140.00   11.38890    51.39980      -9   1969-01-01   2001-12-31      XX      100.00%           9   Allstedt
  00087   4433310.15   5662504.24     158.00   11.04790    51.09500      -9   1946-12-31   2015-12-31      XX       94.08%           3   Alperstedt
